NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE
Cash loans,M,N,N,1,180000,904500,29178,904500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-13964,-339,-1028,-4694,,1,1,1,1,0,0,Waiters/barmen staff,3,2,2,THURSDAY,15,0,0,0,0,0,0,Business Entity Type 3,,0.731636683,0.470456116,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,135000,835380,40320,675000,Unaccompanied,State servant,Higher education,Married,House / apartment,0.020713,-15780,-4135,-9804,-4776,,1,1,0,1,1,0,Core staff,2,3,2,SATURDAY,6,0,0,0,0,0,0,School,,0.522673939,,0.0691,0.0812,0.9762,0.6736,0.0064,0,0.1379,0.1667,0.2083,0.0662,0.0538,0.0568,0.0116,0.0516,0.0704,0.0842,0.9762
Revolving loans,M,Y,Y,0,171000,675000,33750,675000,Family,Working,Secondary / secondary special,Married,House / apartment,0.00733,-15889,-2378,-5124,-4839,22,1,1,0,1,0,0,Drivers,2,2,2,FRIDAY,17,0,0,0,0,0,0,Construction,,0.468396214,0.554946769,0.0082,0,0.9702,0.592,0.0011,0,0.0345,0.0417,0.0833,0.0078,0.0067,0.0084,0,0,0.0084,0,0.9702
Revolving loans,F,N,Y,0,54000,180000,9000,180000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018209,-18072,-1890,-5138,-1598,,1,1,0,1,0,0,,2,3,3,THURSDAY,11,0,0,0,0,1,1,Housing,0.39031128,0.362162371,0.332850564,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,1,123750,450000,20853,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.031329,-13085,-957,-822,-4603,,1,1,0,1,0,1,Managers,3,2,2,FRIDAY,11,0,0,0,0,0,0,Business Entity Type 1,0.43426379,0.635377481,0.508286991,0.0082,0,0.9682,0.5648,0.0009,0,0.0345,0.0417,0.0833,0.0077,0.0067,0.0079,0,0,0.0084,0,0.9682
Cash loans,F,N,Y,0,135000,729792,24246,630000,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.018801,-13292,-3226,-6927,-4055,,1,1,0,1,1,0,Sales staff,1,2,2,SATURDAY,11,0,0,0,0,0,0,Business Entity Type 3,,0.57754757,0.344155007,0.1072,,0.9747,,,,0.1552,0.2708,,,,0.1086,,,0.0935,,0.9722
Cash loans,F,N,N,0,126000,454500,16695,454500,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.025164,-22097,365243,-1408,-4695,,1,0,0,1,1,0,,2,2,2,TUESDAY,9,0,0,0,0,0,0,XNA,0.8603247,0.658408492,0.69562193,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,225000,285723,23035.5,238500,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.031329,-15782,-1292,-1930,-782,,1,1,0,0,0,0,,2,2,2,MONDAY,7,0,0,0,0,0,0,Government,0.740695847,0.649242497,0.511891802,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,157500,267336,21118.5,211500,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.010147,-17372,-5231,-5727,-921,,1,1,0,1,1,0,,1,2,2,WEDNESDAY,12,0,0,0,0,0,0,Business Entity Type 3,,0.663890398,0.824594971,0.0742,0.049,0.9816,0.7484,0.0085,0.04,0.0345,0.3333,0.375,0.0454,0.0605,0.0742,0,0,0.0756,0.0509,0.9816
Cash loans,F,N,Y,0,247500,834048,53433,720000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.04622,-16648,-1685,-1565,-130,,1,1,0,1,0,0,Cooking staff,2,1,1,TUESDAY,14,0,0,0,0,1,1,Restaurant,0.426118984,0.619718691,0.481249341,0.0412,0,0.9593,0.4424,0.0069,0,0.1724,0.125,0.1667,0,0.0336,0.0546,0,0,0.042,0,0.9593
Cash loans,M,Y,Y,0,180000,573408,31234.5,495000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.02461,-18560,-9889,-3997,-2071,10,1,1,0,1,0,0,Laborers,2,2,2,WEDNESDAY,19,0,0,0,0,0,0,Other,,0.587958111,0.646329898,0.0825,0.0801,0.9752,0.66,0.0611,0,0.1379,0.1667,0.2083,0.0288,0.0672,0.0631,0,0,0.084,0.0831,0.9752
Cash loans,F,N,Y,0,58500,254700,14350.5,225000,Unaccompanied,Pensioner,Higher education,Widow,House / apartment,0.01885,-24008,365243,-2249,-4266,,1,0,0,1,1,0,,1,2,2,FRIDAY,11,0,0,0,0,0,0,XNA,,0.673852473,0.472253343,,,,,,,,,,,,,,,,,
Cash loans,M,Y,Y,1,202500,862560,27954,720000,Unaccompanied,Working,Higher education,Married,House / apartment,0.007305,-14801,-1571,-8369,-4606,19,1,1,0,1,1,0,,3,3,3,TUESDAY,13,0,0,0,0,0,0,Transport: type 4,,0.474226467,0.583237926,0.1701,0.0925,0.9886,0.8436,0.0763,0.16,0.1379,0.375,0.4167,0.0562,0.1387,0.1757,0.0039,0.0049,0.1733,0.096,0.9886
Cash loans,F,Y,N,0,135000,485190,21370.5,405000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-21370,-668,-8511,-4260,18,1,1,1,1,1,0,Sales staff,2,3,2,MONDAY,12,0,0,0,0,0,0,Self-employed,0.83221078,0.102754911,0.517296581,0.2876,0.2063,0.9881,0.8368,0.1948,0.28,0.2414,0.375,0.4167,0.0358,0.2337,0.3145,0.0039,0.1161,0.2931,0.2141,0.9881
Cash loans,F,N,N,0,315000,315000,24867,315000,Unaccompanied,Working,Secondary / secondary special,Single / not married,Municipal apartment,0.072508,-10177,-224,-2163,-2847,,1,1,0,1,1,0,Drivers,1,1,1,SATURDAY,14,0,0,0,0,0,0,Business Entity Type 3,0.551169563,0.625652698,0.259467655,0.2309,0.0409,0.997,0.9592,0.1308,0.28,0.1207,0.6667,0.7083,0.0202,0.1883,0.1306,0,0.0533,0.2017,0.0109,0.997
Cash loans,M,Y,Y,0,157500,298512,15583.5,270000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.030755,-12378,-384,-6241,-4210,21,1,1,0,1,0,0,Laborers,2,2,2,MONDAY,15,0,0,0,0,0,0,Trade: type 3,,0.652065772,0.450747282,0.0619,0.0578,0.9826,0.762,0.0114,0,0.1379,0.1667,0.2083,0.0158,0.0504,0.0401,0,0,0.063,0.06,0.9826
Cash loans,M,N,N,0,157500,728460,44694,675000,Unaccompanied,Commercial associate,Incomplete higher,Civil marriage,House / apartment,0.032561,-11987,-215,-5763,-3753,,1,1,0,1,0,0,Laborers,2,1,1,SUNDAY,16,0,1,1,0,1,1,Services,,0.284814236,,0.1433,0.1282,0.9752,0.66,0.0151,0,0.2414,0.1667,0.2083,0.035,0.1168,0.1363,0,0,0.146,0.133,0.9752
Cash loans,F,N,Y,0,202500,1113840,47191.5,900000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.00733,-21731,365243,-4303,-4976,,1,0,0,1,1,0,,2,2,2,TUESDAY,12,0,0,0,0,0,0,XNA,0.67597682,0.621865332,0.728141299,0.2062,0.9431,0.9935,0.9116,0.049,0.2,0.1724,0.375,0.0417,0.7389,0.1673,0.2388,0.0039,0.0496,0.2101,0.9787,0.9935
Cash loans,F,N,Y,0,315000,1589904,55395,1372500,Unaccompanied,Working,Incomplete higher,Single / not married,House / apartment,0.018801,-13285,-5319,-7146,-4980,,1,1,1,1,1,1,,1,2,2,THURSDAY,9,0,0,0,0,0,0,Housing,0.680060127,0.565918452,0.29109738,0.2227,0.1663,0.9841,0.7824,0.1478,0.24,0.2069,0.3333,0.375,0.1375,0.1816,0.2271,0,0,0.2269,0.1725,0.9841
Cash loans,M,Y,Y,0,180000,886500,31405.5,886500,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.028663,-10002,-693,-4110,-2629,2,1,1,0,1,0,0,Drivers,2,2,2,TUESDAY,11,0,0,0,0,1,1,Construction,,0.285759493,0.64797686,,,,,,,,,,,,,,,,,
Cash loans,M,Y,Y,0,256500,238500,15417,238500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018634,-9444,-1999,-149,-1973,2,1,1,1,1,0,0,Managers,2,2,2,FRIDAY,15,0,0,0,0,0,0,Other,0.285593075,0.510770002,0.240541417,,,,,,,,,,,,,,,,,
Cash loans,F,N,N,0,112500,561384,53851.5,540000,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.02461,-21356,365243,-7537,-4387,,1,0,0,1,1,0,,1,2,2,SUNDAY,18,0,0,0,0,0,0,XNA,,0.725060416,0.652896552,0.0515,0.0455,0.9925,0.8912,0.1003,0.04,0.0345,0.375,0.4167,,0.042,0.0628,0,0.0244,0.0525,0.0472,0.9926
Cash loans,F,N,N,0,73800,450000,13644,450000,"Spouse, partner",Pensioner,Secondary / secondary special,Married,House / apartment,0.026392,-21371,365243,-2671,-4645,,1,0,0,1,1,0,,2,2,2,THURSDAY,17,0,0,0,0,0,0,XNA,,0.6876191,0.771361592,,,,,,,,,,,,,,,,,
Cash loans,M,N,Y,0,171000,918468,30483,697500,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.011657,-20681,-2513,-1873,-3702,,1,1,0,1,0,0,Security staff,2,1,1,MONDAY,13,0,0,0,0,0,0,Business Entity Type 3,,0.209170102,0.728141299,0.0082,0.0914,0.9786,0.7076,0.0042,0,0.069,0.1667,,0.019,,0.0757,,0.063,0.0084,0.0948,0.9786
Cash loans,F,N,Y,0,99000,593010,17338.5,495000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010966,-19829,-3511,-100,-3385,,1,1,1,1,0,1,IT staff,2,2,2,SATURDAY,12,0,0,0,0,0,0,Business Entity Type 3,0.896268728,0.650551066,0.417099668,,,,,,,,,,,,,,,,,
Cash loans,M,N,Y,1,305779.5,360000,19543.5,360000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.020713,-11433,-1627,-2903,-3398,,1,1,1,1,0,0,Managers,3,3,3,MONDAY,10,0,0,0,1,1,0,Trade: type 2,0.420898452,0.704934156,0.429423684,0.1237,0.088,0.9821,0.7552,,0,0.069,0.1667,,0.0324,,0.0637,,0,0.1261,0.0913,0.9821
Cash loans,M,Y,Y,0,180000,117162,12433.5,103500,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.003813,-19075,-4513,-2974,-111,27,1,1,0,1,1,0,Laborers,2,2,2,FRIDAY,12,0,0,0,0,0,0,Trade: type 2,,0.325848135,,,,,,,,,,,,,,,,,,
Cash loans,M,N,Y,0,157500,500490,53901,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.019689,-10215,-3380,-5202,-2776,,1,1,0,1,1,1,,1,2,2,SATURDAY,14,0,0,0,0,0,0,Business Entity Type 3,0.265198356,0.631711979,0.29859499,0.0845,0.0129,0.9717,0.6124,0.0163,0,0.1379,0.1667,0.2083,0.0725,0.058,0.0767,0.0502,0.1121,0.0861,0.0134,0.9717
Cash loans,M,Y,Y,2,180000,558486,34164,517500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.006852,-11221,-927,-2178,-2199,25,1,1,0,1,0,0,Drivers,4,3,3,FRIDAY,6,0,0,0,0,0,0,Self-employed,,0.384964874,,,,,,,,,,,,,,,,,,
Cash loans,F,Y,N,1,112500,269550,11106,225000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.030755,-11711,-512,-6159,-4205,14,1,1,0,1,0,0,Sales staff,3,2,2,MONDAY,14,0,0,0,0,0,0,Trade: type 3,,0.602581992,0.385914672,,,,,,,,,,,,,,,,,
Revolving loans,F,N,Y,0,405000,900000,45000,900000,Unaccompanied,Working,Higher education,Single / not married,With parents,0.018634,-14067,-5171,-8118,-41,,1,1,0,1,0,0,Managers,1,2,2,MONDAY,15,0,0,0,0,0,0,Transport: type 2,0.524737658,0.630805934,0.675413291,0.2227,0.1473,0.9826,,,0.16,0.1379,0.3333,,0.0906,,0.2164,,0,0.2269,0.1529,0.9826
Cash loans,F,Y,N,0,360000,1687500,46534.5,1687500,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.0228,-16299,-2744,-5945,-3535,2,1,1,0,1,1,0,Managers,2,2,2,THURSDAY,11,0,0,0,0,0,0,University,0.727617306,0.590202495,0.764939274,,,,,,,,,,,,,,,,,
Cash loans,F,N,N,0,135000,213322.5,11020.5,162000,Unaccompanied,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.005002,-15834,365243,-7971,-4625,,1,0,0,1,0,1,,2,3,3,TUESDAY,13,0,0,0,0,0,0,XNA,,0.471724498,0.280789574,0.0928,0.1267,0.9881,0.8368,0.053,0,0.2069,0.1667,0.2083,0.022,0.0756,0.0921,0,0,0.0945,0.1315,0.9881
Cash loans,M,Y,N,0,180000,808650,24732,675000,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.072508,-16196,-2133,-7171,-4530,4,1,1,0,1,0,0,High skill tech staff,1,1,1,MONDAY,18,0,0,0,0,0,0,Other,,0.790712996,0.424130311,0.0959,0.0854,0.9796,,,0.08,0.0345,0.5417,,,,0.0795,,0.0527,0.0956,0.0401,0.9796
Cash loans,F,N,N,0,112500,284400,22599,225000,Unaccompanied,Working,Secondary / secondary special,Separated,Municipal apartment,0.010643,-17609,-2265,-9338,-1127,,1,1,0,1,0,0,Cleaning staff,1,2,2,THURSDAY,12,0,0,0,0,1,1,Restaurant,,0.639793715,0.307736696,0.1495,0.0745,0.9851,,,,0.069,0.0833,,0.0521,,0.0447,,0.1068,0.1523,0.0774,0.9851
Cash loans,F,Y,Y,1,382500,1483650,61227,1350000,Unaccompanied,State servant,Higher education,Married,House / apartment,0.04622,-10815,-3887,-4656,-594,65,1,1,0,1,0,1,Laborers,3,1,1,FRIDAY,11,0,0,0,0,1,1,Postal,0.715708277,0.458407673,0.215182404,,,0.9513,,,,,,,0,,,,,,,0.9513
Cash loans,F,Y,N,0,121500,83538,6826.5,67500,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.031329,-10176,-1695,-3792,-1626,8,1,1,0,1,0,1,,1,2,2,MONDAY,8,0,0,0,0,0,0,Business Entity Type 2,0.544346518,0.517144811,0.499272015,,0.0327,0.9826,,,0.08,0.069,0.3333,0.375,0.1376,0.1194,0.1258,,0.0017,,0.034,0.9826
Cash loans,M,N,N,0,67500,417024,21834,360000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.00702,-21177,-216,-13335,-4451,,1,1,0,1,1,0,Security staff,2,2,2,FRIDAY,12,0,0,0,0,1,1,Business Entity Type 3,,0.506326744,0.689479143,,,,,,,,,,,,,,,,,
Cash loans,M,Y,Y,0,112500,168102,19138.5,148500,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.019101,-8703,-130,-3584,-1336,3,1,1,0,1,0,0,Drivers,1,2,2,WEDNESDAY,12,0,0,0,0,1,1,Transport: type 4,0.136685356,0.573482184,0.547810466,0.0495,0.018,0.9801,0.728,,0.08,0.0345,0.4583,0.5,0.0256,0.0403,0.0501,0,0,0.0504,0.0187,0.9801
Cash loans,F,N,N,0,135000,1024290,29947.5,855000,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.035792,-9586,-542,-4097,-2259,,1,1,1,1,1,0,Managers,1,2,2,WEDNESDAY,11,0,0,0,0,0,0,Business Entity Type 3,0.328534155,0.518264119,0.310818254,,,,,,,,,,,,,,,,,
Cash loans,M,Y,Y,2,157500,1546020,45202.5,1350000,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018029,-19267,-4826,-9691,-2397,30,1,1,0,1,0,0,,4,3,3,MONDAY,6,0,0,0,0,1,1,Business Entity Type 3,,0.528034027,0.662637792,0.2361,,0.9856,,,0.28,0.2414,0.3333,,,,0.266,,0.0324,0.2405,,0.9856
Cash loans,F,N,Y,0,135000,900000,31887,900000,Children,Working,Secondary / secondary special,Married,House / apartment,0.01452,-19200,-3021,-9329,-2748,,1,1,0,1,0,0,Sales staff,2,2,2,MONDAY,12,0,0,0,0,0,0,Business Entity Type 2,,0.344191494,,0.1211,0.1363,0.9776,0.6872,0.1564,0.04,0.1552,0.2083,0.125,0.0147,0.1391,0.0915,0,0.0006,0.0725,0.1123,0.9782
Cash loans,F,N,N,0,135000,728460,74772,675000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.019689,-10585,-759,-5050,-44,,1,1,0,1,0,0,,2,2,2,FRIDAY,11,0,0,0,0,0,0,Business Entity Type 3,0.681569935,0.713300924,,0.0825,0.004,0.9747,0.6532,0.0089,0,0.1379,0.1667,0.2083,0.0441,0.0672,0.0636,0,0,0.084,0.0042,0.9747
Cash loans,F,Y,Y,0,202500,679500,19867.5,679500,Unaccompanied,State servant,Higher education,Married,House / apartment,0.025164,-21448,-4497,-10333,-4913,15,1,1,1,1,1,0,,2,2,2,TUESDAY,9,0,0,0,0,1,1,Other,,0.626957798,0.422369652,0.0711,0.0785,0.9796,0.7212,0.0815,0,0.1379,0.1667,0.2083,0.0191,0.058,0.0486,0,0.019,0.0725,0.0815,0.9796
Cash loans,F,N,N,1,225000,1206000,34690.5,1206000,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,0.0228,-9853,-701,-5457,-1604,,1,1,0,1,0,0,Managers,3,2,2,THURSDAY,14,0,0,0,1,1,0,Trade: type 3,,0.454127318,0.417099668,,,,,,,,,,,,,,,,,
Cash loans,M,Y,N,0,315000,1428408,79758,1350000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.04622,-11203,-532,-1671,-1671,11,1,1,1,1,0,0,Laborers,2,1,1,TUESDAY,14,0,1,1,0,1,1,Business Entity Type 3,,0.663758638,0.652896552,0.0093,0,0.9583,0.4288,0.0003,0,0.069,0.0417,0.0833,0.0052,0.0067,0.0083,0.0039,0.0007,0.0095,0,0.9583
Cash loans,M,Y,Y,0,270000,746280,58963.5,675000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.006629,-18751,-592,-1211,-1321,2,1,1,0,1,0,0,Laborers,2,2,2,MONDAY,4,0,0,0,0,0,0,Business Entity Type 3,,0.530387661,,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,225000,675000,24930,675000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.010006,-19389,-7340,-3793,-2930,,1,1,0,1,0,0,,1,2,2,TUESDAY,11,0,0,0,0,0,0,Government,0.807544568,0.634525949,0.781378238,0.2938,0.1408,0.9945,0.9252,0.2246,0.48,0.2069,0.4583,0.5,,0.2396,0.3191,0,0,0.2994,0.1461,0.9945
Cash loans,M,N,Y,0,202500,314100,16164,225000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020246,-18374,-288,-7449,-1937,,1,1,0,1,0,0,Laborers,2,3,3,WEDNESDAY,10,0,0,0,0,0,0,Housing,,0.79064785,0.643025564,0.1474,0.1365,0.9881,0.8368,0.0745,0.24,0.2069,0.4583,0.5,0.086,0.1202,0.1855,0,0,0.1502,0.1416,0.9881
Cash loans,M,Y,Y,0,265500,755190,38686.5,675000,Unaccompanied,Working,Higher education,Married,House / apartment,0.002042,-12954,-1608,-7077,-4747,1,1,1,0,1,0,0,High skill tech staff,2,3,3,WEDNESDAY,14,0,0,0,0,0,0,Construction,0.794034096,0.595860049,0.425892898,0.0165,0.0018,0.9742,0.6464,0.0072,0,0.1034,0.0417,0.0833,0.03,0.0134,0.0094,0,0.0182,0.0168,0.0019,0.9742
